,County / unitary (as of April 2021),CTYUA20CD,2001
135,Kent,E10000016,1331194
131,Essex,E10000012,1312599
133,Hampshire,E10000014,1241431
136,Lancashire,E10000017,1136542
147,Surrey,E10000030,1060163
134,Hertfordshire,E10000015,1035523
80,Birmingham,E08000025,984642
145,Staffordshire,E10000028,807152
139,Norfolk,E10000020,798618
149,West Sussex,E10000032,754976
142,Nottinghamshire,E10000024,748809
128,Derbyshire,E10000007,734888
90,Leeds,E08000035,715609
129,Devon,E10000008,705568
146,Suffolk,E10000029,669913
138,Lincolnshire,E10000019,647640
140,Northamptonshire,E10000021,630986
137,Leicestershire,E10000018,610279
143,Oxfordshire,E10000025,607277
192,Glasgow City,S12000049,578710
141,North Yorkshire,E10000023,570094
132,Gloucestershire,E10000013,564999
126,Cambridgeshire,E10000003,554704
150,Worcestershire,E10000034,542233
75,Sheffield,E08000019,513102
148,Warwickshire,E10000031,506193
48,Cornwall,E06000052,499937
144,Somerset,E10000027,498707
44,County Durham,E06000047,493678
130,East Sussex,E10000011,493130
127,Cumbria,E10000006,487795
56,Buckinghamshire,E06000060,479131
87,Bradford,E08000032,470753
183,City of Edinburgh,S12000036,449020
68,Liverpool,E08000012,441858
50,Wiltshire,E06000054,433508
59,Manchester,E08000003,422915
22,"Bristol, City of",E06000023,390049
89,Kirklees,E08000034,388980
45,Cheshire East,E06000049,352104
190,Fife,S12000047,349770
54,"Bournemouth, Christchurch and Poole",E06000058,346829
55,Dorset,E06000059,346596
100,Croydon,E09000008,335112
153,Belfast,N09000003,328695
46,Cheshire West and Chester,E06000050,322154
193,North Lanarkshire,S12000050,321180
95,Barnet,E09000003,319481
91,Wakefield,E08000036,315380
71,Wirral,E08000015,315004
10,East Riding of Yorkshire,E06000011,314854
207,Cardiff,W06000015,310088
53,Northumberland,E06000057,307363
101,Ealing,E09000009,307276
82,Dudley,E08000027,305052
81,Coventry,E08000026,302804
178,South Lanarkshire,S12000029,302340
66,Wigan,E08000010,301453
98,Bromley,E09000006,296218
73,Doncaster,E08000017,286900
79,Sunderland,E08000024,284601
83,Sandwell,E08000028,284594
63,Stockport,E08000007,284557
47,Shropshire,E06000051,283254
70,Sefton,E08000014,282884
15,Leicester,E06000016,282757
102,Enfield,E09000010,277266
114,Lambeth,E09000022,273372
124,Wandsworth,E09000032,271742
97,Brent,E09000005,269620
17,Nottingham,E06000018,268939
76,Newcastle upon Tyne,E08000021,266241
57,Bolton,E08000001,261302
120,Southwark,E09000028,256712
115,Lewisham,E09000023,254336
85,Walsall,E08000030,253333
40,Brighton and Hove,E06000043,249949
9,"Kingston upon Hull, City of",E06000010,249913
32,Medway,E06000035,249704
117,Newham,E09000025,249411
74,Rotherham,E08000018,248349
24,South Gloucestershire,E06000025,245985
109,Hillingdon,E09000017,245616
118,Redbridge,E09000026,241893
25,Plymouth,E06000026,240954
20,Stoke-on-Trent,E06000021,240422
86,Wolverhampton,E08000031,238016
52,Central Bedfordshire,E06000056,234006
208,Rhondda Cynon Taff,W06000016,231910
14,Derby,E06000015,230726
181,Aberdeenshire,S12000034,226940
108,Havering,E09000016,224717
203,Swansea,W06000011,223463
123,Waltham Forest,E09000031,222015
106,Haringey,E09000014,221251
42,Southampton,E06000045,219539
96,Bexley,E09000004,218757
60,Oldham,E08000004,218537
72,Barnsley,E08000016,218124
103,Greenwich,E09000011,217460
62,Salford,E08000006,216978
110,Hounslow,E09000018,215976
64,Tameside,E08000008,213087
39,Milton Keynes,E06000042,212707
180,Aberdeen City,S12000033,211910
65,Trafford,E08000009,210172
107,Harrow,E09000015,210044
169,Highland,S12000017,208920
104,Hackney,E09000012,207246
61,Rochdale,E08000005,206440
125,Westminster,E09000033,203329
99,Camden,E09000007,202567
122,Tower Hamlets,E09000030,201090
84,Solihull,E08000029,199574
88,Calderdale,E08000033,192379
77,North Tyneside,E08000022,192003
6,Warrington,E06000007,191202
92,Gateshead,E08000037,191178
116,Merton,E09000024,191106
23,North Somerset,E06000024,188840
41,Portsmouth,E06000044,188043
29,Luton,E06000032,185889
3,Stockton-on-Tees,E06000004,183795
121,Sutton,E09000029,181461
13,York,E06000014,181291
58,Bury,E08000002,180655
27,Swindon,E06000030,180129
111,Islington,E09000019,179387
69,St. Helens,E08000013,176826
152,"Armagh City, Banbridge and Craigavon",N09000002,176014
18,"Herefordshire, County of",E06000019,174885
119,Richmond upon Thames,E09000027,174311
202,Carmarthenshire,W06000010,173652
184,Renfrewshire,S12000038,172850
209,Caerphilly,W06000018,169546
105,Hammersmith and Fulham,E09000013,169374
21,Bath and North East Somerset,E06000022,169158
94,Barking and Dagenham,E09000002,165654
112,Kensington and Chelsea,E09000020,162199
30,Southend-on-Sea,E06000033,160362
186,West Lothian,S12000040,159030
19,Telford and Wrekin,E06000020,158573
11,North East Lincolnshire,E06000012,157951
28,Peterborough,E06000031,157439
160,"Newry, Mourne and Down",N09000010,153726
12,North Lincolnshire,E06000013,152964
78,South Tyneside,E08000023,152793
67,Knowsley,E08000011,151238
38,Wokingham,E06000041,150334
161,Ards and North Down,N09000011,149559
113,Kingston upon Thames,E09000021,149045
198,Flintshire,W06000005,148629
51,Bedford,E06000055,148113
163,Dumfries and Galloway,S12000006,147780
188,Dundee City,S12000042,145460
168,Falkirk,S12000014,145270
35,Reading,E06000038,144684
34,West Berkshire,E06000037,144494
155,Derry City and Strabane,N09000005,143810
31,Thurrock,E06000034,143297
8,Blackpool,E06000009,142270
1,Middlesbrough,E06000002,141233
2,Redcar and Cleveland,E06000003,139159
7,Blackburn with Darwen,E06000008,138453
213,Newport,W06000022,137642
173,North Ayrshire,S12000021,135820
191,Perth and Kinross,S12000048,134950
204,Neath Port Talbot,W06000012,134380
37,Windsor and Maidenhead,E06000040,133541
43,Isle of Wight,E06000046,132925
154,Causeway Coast and Glens,N09000004,131374
26,Torbay,E06000027,129965
151,Antrim and Newtownabbey,N09000001,128760
205,Bridgend,W06000013,128735
199,Wrexham,W06000006,128540
158,Mid and East Antrim,N09000008,127452
214,Powys,W06000023,126398
157,Lisburn and Castlereagh,N09000007,124585
36,Slough,E06000039,120577
164,East Ayrshire,S12000008,120310
206,Vale of Glamorgan,W06000014,119277
159,Mid Ulster,N09000009,119112
5,Halton,E06000006,118559
195,Gwynedd,W06000002,116844
201,Pembrokeshire,W06000009,113058
177,South Ayrshire,S12000028,112160
196,Conwy,W06000003,109674
33,Bracknell Forest,E06000036,109650
187,Angus,S12000041,108370
189,East Dunbartonshire,S12000045,108250
175,Scottish Borders,S12000026,106950
156,Fermanagh and Omagh,N09000006,105751
4,Darlington,E06000005,97894
185,West Dunbartonshire,S12000039,93320
197,Denbighshire,W06000004,93070
182,Argyll and Bute,S12000035,91300
211,Torfaen,W06000020,90912
165,East Lothian,S12000010,90180
0,Hartlepool,E06000001,90152
166,East Renfrewshire,S12000011,89410
172,Moray,S12000020,87000
179,Stirling,S12000030,86200
212,Monmouthshire,W06000021,84984
170,Inverclyde,S12000018,84150
171,Midlothian,S12000019,80950
200,Ceredigion,W06000008,75417
210,Blaenau Gwent,W06000019,70000
194,Isle of Anglesey,W06000001,67806
215,Merthyr Tydfil,W06000024,56207
162,Clackmannanshire,S12000005,48070
16,Rutland,E06000017,34598
167,Na h-Eileanan Siar,S12000013,26450
176,Shetland Islands,S12000027,21960
174,Orkney Islands,S12000023,19220
93,City of London,E09000001,7359
49,Isles of Scilly,E06000053,2140
