,index_left,OBJECTID_x,CTRY20CD,CTRY20NM,BNG_E_x,BNG_N_x,LONG_x,LAT_x,Shape__Are_x,Shape__Len_x,OBJECTID_y,CTYUA20CD,CTYUA20NM,CTYUA20NMW,BNG_E_y,BNG_N_y,LONG_y,LAT_y,Shape__Are_y,Shape__Len_y,geometry,County / unitary (as of April 2021),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
162,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,163,S12000005,Clackmannanshire,,291178,696402,-3.75316,56.14784,162845671.371445,72429.9851635155,POINT (291952.5329231089 696807.6270193781),Clackmannanshire,48100.0,48170.0,48390.0,48590.0,48570.0,48560.0,48560.0,48410.0,48240.0,48170.0,48070,48140,48140,48680,49160,49540,50600,51190,51290,51330,51500,51280,51280,51190,51360,51350,51450,51400,51540
163,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,164,S12000006,Dumfries and Galloway,,270645,579856,-4.02863,55.09621,6444952850.35069,672022.01350868,POINT (274773.0537896699 577677.5594350429),Dumfries and Galloway,147170.0,147650.0,147940.0,148130.0,148520.0,148520.0,148520.0,148740.0,148230.0,147540.0,147780,147670,147860,148700,149620,149770,150370,151010,151160,151100,151410,150840,150280,149960,149670,149520,149200,148790,148860
164,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,165,S12000008,East Ayrshire,,255398,624935,-4.29057,55.49674,1272832615.86668,276686.020027799,POINT (253848.8286316864 623734.638461306),East Ayrshire,124020.0,123810.0,123540.0,123250.0,122790.0,122000.0,121440.0,121000.0,120550.0,120120.0,120310,119920,119850,120210,120280,120440,120950,121600,122110,122410,122690,122730,122430,122130,122060,122200,121940,121840,122010
165,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,166,S12000010,East Lothian,,354854,672351,-2.72435,55.94207,678145466.358948,140169.732804195,POINT (355035.0523655488 672100.2814266968),East Lothian,84440.0,84510.0,84880.0,85900.0,86600.0,86990.0,87730.0,88360.0,89110.0,89910.0,90180,91060,91640,92170,92730,93850,95570,97480,98340,99140,99920,100860,101390,102090,103050,104090,104840,105790,107090
166,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,167,S12000011,East Renfrewshire,,251929,653115,-4.3606,55.74868,175683611.934464,75237.1219538965,POINT (252020.2671024328 653683.0982155835),East Renfrewshire,85770.0,86050.0,86490.0,86660.0,87530.0,87410.0,87890.0,88310.0,88520.0,89040.0,89410,89930,89870,89790,89880,89750,89840,89870,89980,90410,90810,91040,91530,92410,92940,93810,94760,95170,95530
167,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,168,S12000013,Na h-Eileanan Siar,,126473,932862,-6.65722,58.19938,3039462599.19976,1593167.05495429,POINT (112478.1053496838 903066.0325649495),Na h-Eileanan Siar,29330.0,29240.0,29260.0,29120.0,28810.0,28600.0,27910.0,27540.0,27210.0,26790.0,26450,26350,26430,26650,26930,27060,27210,27280,27420,27600,27690,27560,27400,27250,27070,26900,26950,26830,26720
168,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,169,S12000014,Falkirk,,285585,680168,-3.83619,56.00075,299676135.103714,106975.968824335,POINT (288014.5707424536 679592.344449399),Falkirk,142500.0,142400.0,142240.0,142280.0,142680.0,143040.0,143340.0,143880.0,144570.0,144650.0,145270,145920,146800,148300,150130,151090,152320,153290,154210,155130,156250,156800,157160,157690,158460,159380,160130,160340,160890
169,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,170,S12000017,Highland,,241018,858292,-4.66103,57.58657,26120229952.3146,3079164.071831,POINT (234694.8138976531 856966.3635075338),Highland,203790.0,205670.0,206740.0,207380.0,208220.0,208650.0,208560.0,208850.0,209200.0,209130.0,208920,209760,211640,214560,218060,220780,224000,226970,228750,230730,232730,232890,232930,233080,234110,234770,235180,235540,235830
170,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,171,S12000018,Inverclyde,,227922,670894,-4.75387,55.9003,163739790.867371,61850.5557012329,POINT (228532.708676808 670980.4594104118),Inverclyde,91390.0,90850.0,89890.0,89320.0,88640.0,87060.0,86460.0,85840.0,85300.0,84660.0,84150,83730,83300,82690,82680,82320,82110,82000,81670,81510,81220,80690,80340,79890,79500,79160,78760,78150,77800
171,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,172,S12000019,Midlothian,,330088,659217,-3.11738,55.82111,354813985.93425,110233.8412277,POINT (330479.8280002901 660426.540410559),Midlothian,79530.0,79050.0,79030.0,79060.0,78860.0,78960.0,79550.0,80120.0,80630.0,81110.0,80950,80880,80280,80230,80050,79990,80370,81550,81900,82360,83450,84240,84710,86220,87390,88610,90090,91340,92460
172,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,173,S12000020,Moray,,328015,843590,-3.20202,57.4768,2250629823.26299,339064.95723047,POINT (324108.9272375142 843404.6296437329),Moray,83990.0,85380.0,86520.0,87850.0,87870.0,87430.0,87160.0,86800.0,86800.0,86720.0,87000,87690,88830,89380,90100,90780,91440,92840,93160,93690,93470,92930,94360,94770,95510,96070,95780,95520,95820
175,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,176,S12000026,Scottish Borders,,345889,626137,-2.85869,55.52595,4743912164.192,430321.291325719,POINT (350375.2217232179 631627.2550858681),Scottish Borders,103830.0,104540.0,105040.0,105450.0,105940.0,105860.0,105960.0,106040.0,105810.0,106250.0,106950,107530,108390,109450,110250,110860,112200,113360,113590,113700,113880,113720,113880,114040,114030,114530,115020,115270,115510
176,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,177,S12000027,Shetland Islands,,434516,1180307,-1.37344,60.50495,1430696670.63419,1177104.67511641,POINT (441072.1760524419 1166429.023224765),Shetland Islands,22530.0,22600.0,22760.0,22790.0,22970.0,22860.0,22830.0,22700.0,22510.0,22180.0,21960,22000,21950,22090,22250,22210,22350,22480,22800,23060,23240,23210,23200,23220,23200,23200,23080,22990,22920
177,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,178,S12000028,South Ayrshire,,226545,596271,-4.72899,55.23008,1221022680.30987,246312.345711274,POINT (229256.6021767097 600286.7591329332),South Ayrshire,113120.0,113100.0,113280.0,113550.0,113620.0,113540.0,113620.0,113320.0,112850.0,112290.0,112160,111690,111550,111840,112030,112100,112380,112610,112490,112600,112980,112920,112870,112530,112400,112470,112680,112550,112610
178,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,179,S12000029,South Lanarkshire,,284634,636071,-3.83272,55.60453,1771615500.64397,247590.081940624,POINT (286078.8739300908 636976.3642904563),South Lanarkshire,302530.0,303220.0,303950.0,305220.0,304930.0,304760.0,304440.0,303330.0,302580.0,302270.0,302340,302770,303480,305660,306850,308450,310370,311310,312180,313180,313900,314330,314810,315300,316230,317100,318170,319020,320530
179,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,180,S12000030,Stirling,,255980,708769,-4.32595,56.24953,2259083398.41556,286927.508850726,POINT (255062.6610833077 708176.7900429678),Stirling,80930.0,81050.0,81430.0,81980.0,82420.0,83060.0,84050.0,84680.0,85450.0,86160.0,86200,86630,87090,86920,87510,88090,88430,88540,88690,89550,90330,91010,91230,91520,92830,93750,94000,94330,94210
180,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,181,S12000033,Aberdeen City,,387763,808479,-2.20398,57.16697,185667092.21994,81173.5111329446,POINT (388796.6990972115 807362.034636515),Aberdeen City,214120.0,216140.0,218250.0,219500.0,219880.0,218350.0,217300.0,215650.0,214630.0,213340.0,211910,210680,209280,207820,208690,209630,212470,214020,217020,219730,222460,224910,227070,228920,230350,229840,228800,227560,228670
181,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,182,S12000034,Aberdeenshire,,352284,816277,-2.79208,57.23469,6322067831.69095,549723.371705764,POINT (361897.4370568044 816845.6788152594),Aberdeenshire,215870.0,219970.0,223100.0,225560.0,226070.0,226990.0,226020.0,226220.0,227240.0,227020.0,226940,228830,231250,234690,237570,241180,244390,246830,249020,251430,253650,255560,257770,260530,261960,262190,261800,261470,261210
182,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,183,S12000035,Argyll and Bute,,200740,715443,-5.22114,56.28944,6963138771.98333,2180350.78630941,POINT (182915.0614115915 697525.0230626405),Argyll and Bute,93520.0,91680.0,91170.0,91910.0,91950.0,91740.0,91720.0,91670.0,91640.0,91050.0,91300,91020,90930,90580,90340,90860,90790,89910,89450,88620,88930,86910,88050,87650,86890,87130,86810,86260,85870
183,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,184,S12000036,City of Edinburgh,,320193,669417,-3.27826,55.9112,263257592.273697,88848.0166088863,POINT (319542.8284462346 670872.7443308617),City of Edinburgh,436320.0,436670.0,438300.0,440120.0,443860.0,444910.0,445720.0,446240.0,447190.0,448430.0,449020,447500,445300,445870,449470,452040,456040,458520,463230,469930,477940,482630,487460,492610,498810,507170,513210,518500,524930
184,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,185,S12000038,Renfrewshire,,239305,664698,-4.56834,55.84862,269710252.350418,89379.6235306389,POINT (240923.9543384368 664579.8635378365),Renfrewshire,175690.0,175280.0,175320.0,175460.0,176430.0,176390.0,175800.0,175320.0,174390.0,173680.0,172850,172300,171560,171470,171430,171270,171870,172640,173020,173700,174700,174300,173890,174230,174560,175930,176830,177790,179100
185,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,186,S12000039,West Dunbartonshire,,242904,681586,-4.52074,56.0014,179457861.602951,73529.8749478943,POINT (243076.7377394836 679852.9951512644),West Dunbartonshire,97250.0,96920.0,97000.0,96780.0,95870.0,95320.0,95200.0,94930.0,94420.0,93930.0,93320,93040,92470,91960,91530,91410,91370,91190,91080,90800,90610,90340,89800,89710,89590,89860,89610,89130,88930
186,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,187,S12000040,West Lothian,,299483,668514,-3.60909,55.8992,427172577.852386,113022.03440032,POINT (301602.6174361811 666861.3495719829),West Lothian,145040.0,144500.0,145680.0,147250.0,148710.0,150080.0,151780.0,153200.0,154760.0,157050.0,159030,160370,161690,163540,165010,167110,169470,171390,173040,174090,175300,176010,176160,177200,178550,180130,181310,182140,183100
187,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,188,S12000041,Angus,,345506,759636,-2.8921,56.72518,2194117982.38484,245544.533640246,POINT (343844.4907365932 759627.491282324),Angus,108400.0,109900.0,110910.0,111550.0,111560.0,110570.0,110000.0,109790.0,109560.0,108850.0,108370,108810,108700,110170,111340,112500,113540,114490,114830,115410,116200,116220,116290,116740,116900,116520,116280,116040,116200
188,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,189,S12000042,Dundee City,,340291,732145,-2.97095,56.4776,57820895.5427551,39629.433468433,POINT (340295.6946106836 732177.800185426),Dundee City,155550.0,154960.0,154000.0,152200.0,152460.0,152200.0,151350.0,149680.0,147970.0,146610.0,145460,144370,144080,143100,143600,143360,143700,144290,145170,146060,147200,147780,148100,148130,148210,148270,148710,148750,149320
189,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,190,S12000045,East Dunbartonshire,,261240,676154,-4.22417,55.95829,173578352.18251,83606.6273080683,POINT (261220.8190490161 675926.7627338433),East Dunbartonshire,110170.0,109680.0,109270.0,109540.0,109850.0,109300.0,109280.0,109040.0,108670.0,108620.0,108250,107350,107000,106540,106040,105590,105050,104940,104960,104920,105000,105880,105840,106710,106960,107540,108130,108330,108640
190,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,191,S12000047,Fife,,339187,704721,-2.98251,56.23112,1323366821.52615,248412.092550438,POINT (330191.8725301864 704624.1319720333),Fife,347360.0,347910.0,349260.0,350190.0,349720.0,347430.0,346540.0,346540.0,347030.0,348340.0,349770,350740,351360,353050,355460,357260,358740,360040,361420,362610,365300,366210,366900,367250,368080,370330,371410,371910,373550
191,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,192,S12000048,Perth and Kinross,,284302,744185,-3.88484,56.57528,5385358556.56885,485181.931058911,POINT (288104.9022214016 743077.7905308999),Perth and Kinross,127370.0,129300.0,130570.0,132230.0,133220.0,133130.0,133980.0,134580.0,135200.0,134970.0,134950,135130,135960,136900,138060,139380,141140,143130,144370,145600,146850,147740,147770,148930,149930,150680,151100,151290,151950
192,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,193,S12000049,Glasgow City,,261534,667033,-4.21479,55.87649,178529066.400253,87927.4678219518,POINT (259209.5009863113 665120.9014883055),Glasgow City,629220.0,622210.0,616680.0,612260.0,604080.0,598840.0,590660.0,587050.0,582950.0,577020.0,578710,576450,572270,569560,569250,568460,571760,576200,581620,586500,593060,595070,596520,599640,606340,615070,621020,626410,633120
193,2.0,3.0,S92000003,Scotland,277744.0,700060.0,-3.97094,56.17743,78656638269.511,9812084.36557848,194,S12000050,North Lanarkshire,,277984,665608,-3.9514,55.86814,470403040.707123,139061.786893944,POINT (278307.6922086003 666288.3902888328),North Lanarkshire,326900.0,325840.0,324200.0,323830.0,323450.0,322300.0,322510.0,322180.0,322160.0,321390.0,321180,322520,323700,325400,327140,328740,331160,333280,335160,336280,337720,337890,337780,338000,338260,339390,339960,340180,341370
