,index_left,OBJECTID_x,CTRY20CD,CTRY20NM,BNG_E_x,BNG_N_x,LONG_x,LAT_x,Shape__Are_x,Shape__Len_x,OBJECTID_y,CTYUA20CD,CTYUA20NM,CTYUA20NMW,BNG_E_y,BNG_N_y,LONG_y,LAT_y,Shape__Are_y,Shape__Len_y,geometry,County / unitary (as of April 2021),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
194,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,195,W06000001,Isle of Anglesey,Ynys Môn,245217,378331,-4.32298,53.27931,715231442.082924,178589.246642386,POINT (241835.2150814097 379233.672784971),Isle of Anglesey,69123.0,69379.0,69772.0,69187.0,68426.0,68592.0,68109.0,67692.0,67978.0,67898.0,67806,67879,68140,68753,69095,69388,69700,69916,69884,69833,69913,70037,70073,70141,69936,69665,69794,69961,70043
195,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,196,W06000002,Gwynedd,Gwynedd,280555,334966,-3.77715,52.89883,2553444316.26089,411970.88487908,POINT (264136.3867804048 334667.7333588895),Gwynedd,115007.0,115426.0,115717.0,116330.0,117526.0,117486.0,117606.0,117384.0,116362.0,116699.0,116844,117344,118022,118721,118641,119070,119398,119746,120344,121155,121523,122007,121653,121897,122635,123323,123742,124178,124560
196,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,197,W06000003,Conwy,Conwy,283293,362563,-3.74646,53.14739,1137241708.58848,196263.774907246,POINT (284072.3119911184 361552.1044780517),Conwy,107951.0,107782.0,108142.0,108891.0,108940.0,107897.0,108174.0,108470.0,108322.0,108651.0,109674,110624,111248,112272,112374,113004,113778,114371,114623,114682,115326,115553,115912,116420,116450,116820,116863,117181,117203
197,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,198,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.08833,834235355.649078,188272.099609995,POINT (309507.86752848 355562.6193837785),Denbighshire,89395.0,89119.0,89375.0,89572.0,89911.0,90623.0,90616.0,90951.0,91509.0,92525.0,93070,93478,93872,94010,93978,93983,94530,94739,94444,94152,93919,94053,94518,94837,94836,94984,95159,95330,95696
198,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,199,W06000005,Flintshire,Sir y Fflint,321134,369280,-3.18248,53.21471,433977619.035652,129153.46133386,POINT (322547.4245002702 368615.1296044331),Flintshire,142036.0,143493.0,144049.0,144539.0,144844.0,144106.0,144643.0,146261.0,146824.0,147930.0,148629,148947,149176,149681,149890,150125,150816,151501,151985,152080,152666,152776,153223,153819,154085,154626,155155,155593,156100
199,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,200,W06000006,Wrexham,Wrecsam,333523,345387,-2.99203,53.00167,506885367.147919,155283.77627925,POINT (331695.1726295898 344175.7647386648),Wrexham,124180.0,124627.0,124949.0,125298.0,125431.0,125527.0,125637.0,126178.0,126907.0,127653.0,128540,128595,128914,129005,129249,130311,131263,132371,133295,134009,135070,135498,135801,135953,135418,135408,135571,136126,135957
200,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,201,W06000008,Ceredigion,Ceredigion,267127,268437,-3.94993,52.29795,1781834006.27248,256694.621940526,POINT (258559.5565740504 263733.7260330782),Ceredigion,65933.0,67536.0,68854.0,69937.0,70818.0,70609.0,71807.0,72518.0,74046.0,74942.0,75417,75500,75581,75775,75485,75342,75326,74971,74642,75217,75293,75932,75789,75133,74211,73665,73076,72992,72695
201,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,202,W06000009,Pembrokeshire,Sir Benfro,199821,221392,-4.90818,51.85513,1628791540.66992,361065.09951194,POINT (201337.4119009509 221180.432671204),Pembrokeshire,112446.0,113146.0,112885.0,113086.0,112249.0,112141.0,111640.0,111814.0,111667.0,112538.0,113058,114146,115147,116428,117204,118278,119640,121134,121563,121974,122613,123135,123375,123826,123671,124237,124711,125055,125818
202,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,203,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111,51.89495,2381092295.34467,284419.084953587,POINT (251556.891581453 225139.7504158638),Carmarthenshire,169725.0,169265.0,169255.0,169962.0,171060.0,171145.0,171534.0,172039.0,172329.0,172874.0,173652,174628,176133,177487,178229,179504,181314,182517,182846,183004,183961,184332,184669,184968,185247,185754,186452,187568,188771
203,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,204,W06000011,Swansea,Abertawe,264022,197308,-3.96723,51.65806,383642324.151161,116627.963704057,POINT (258170.5828103228 195828.1877949747),Swansea,229743.0,229610.0,229349.0,228239.0,227765.0,227199.0,226764.0,225702.0,225080.0,224475.0,223463,224755,226350,228176,229347,230793,232460,234139,235601,237311,238691,239460,240108,240966,242316,244462,245480,246466,246993
