County / unitary (as of April 2021),CTYUA20CD,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Darlington,E06000005,"99,342","99,347","99,224","99,423","99,189","99,588","99,171","99,273","98,172","98,088","97,894","98,474","98,911","99,343","100,287","101,509","102,632","103,694","104,355","105,028","105,584","105,503","105,726","105,877","105,998","106,327","106,347","106,566","106,803"
County Durham,E06000047,"501,488","501,608","501,270","500,924","499,927","498,930","498,533","496,945","496,096","495,138","493,678","493,538","493,931","495,147","497,218","499,348","502,960","505,617","507,311","510,628","512,994","514,261","515,923","517,573","519,347","521,776","523,662","526,980","530,094"
Hartlepool,E06000001,"91,058","91,225","91,081","91,027","90,673","90,397","89,921","89,753","89,680","89,811","90,152","89,993","90,134","90,317","90,457","90,781","90,969","91,379","91,530","91,773","92,088","92,261","92,662","92,606","92,498","92,845","93,019","93,242","93,663"
Middlesbrough,E06000002,"144,747","144,130","144,467","145,618","146,391","145,767","144,497","144,031","143,023","142,251","141,233","140,090","139,050","138,451","138,517","138,169","138,190","137,885","137,273","137,667","138,368","138,726","138,911","138,991","139,310","140,326","140,639","140,545","140,980"
Northumberland,E06000057,"305,521","306,086","306,129","306,545","305,931","305,804","306,756","307,241","307,490","307,348","307,363","308,499","309,448","310,140","310,752","311,375","312,960","314,057","314,489","315,463","316,278","316,489","316,389","316,832","316,453","317,444","319,030","320,274","322,434"
Redcar and Cleveland,E06000003,"145,880","145,721","144,256","143,469","142,395","141,156","140,666","140,380","139,542","139,193","139,159","138,520","138,565","138,643","138,177","137,621","136,940","136,512","135,867","135,383","135,164","134,976","134,960","135,102","135,324","135,496","136,005","136,718","137,150"
Stockton-on-Tees,E06000004,"175,154","176,149","177,180","177,263","176,993","177,714","178,019","179,350","180,844","182,517","183,795","184,940","185,699","185,687","186,350","187,270","187,937","189,039","189,978","190,902","191,824","192,487","193,433","194,423","195,128","195,958","196,487","197,213","197,348"
Gateshead,E08000037,"201,682","201,290","200,673","199,629","198,473","197,183","195,935","194,344","193,276","191,912","191,178","191,559","192,115","192,317","192,857","193,615","194,934","196,078","197,481","198,731","200,349","200,272","200,098","200,781","201,724","202,628","202,419","202,508","202,055"
Newcastle upon Tyne,E08000021,"275,009","278,727","282,735","281,158","281,289","280,903","278,164","274,455","270,975","267,623","266,241","267,001","266,862","266,884","269,608","270,258","271,577","271,649","273,422","276,681","279,092","281,893","285,821","288,340","290,764","293,713","295,842","300,196","302,820"
North Tyneside,E08000022,"194,550","194,015","193,405","192,246","191,775","191,154","190,548","191,000","190,062","190,708","192,003","192,739","193,037","193,195","194,120","195,365","196,470","197,964","199,017","200,164","201,206","201,444","202,167","202,857","202,725","203,575","204,473","205,985","207,913"
South Tyneside,E08000023,"156,659","156,710","156,646","156,064","155,788","155,586","155,052","154,402","153,627","153,112","152,793","152,210","151,181","150,265","149,585","148,887","148,642","148,626","148,509","148,468","148,164","148,311","148,384","148,572","148,495","149,194","149,555","150,265","150,976"
Sunderland,E08000024,"295,896","296,325","296,882","295,295","293,891","292,268","290,804","289,709","287,527","285,720","284,601","283,037","281,528","280,113","279,199","278,370","277,834","276,812","276,209","275,980","275,330","275,764","276,089","276,782","276,813","277,307","277,249","277,417","277,705"
Blackburn with Darwen,E06000008,"137,402","137,775","138,912","139,515","139,558","138,778","138,748","139,568","138,233","138,196","138,453","139,538","140,429","141,418","142,145","143,110","143,942","144,902","146,197","146,966","147,657","147,854","147,763","147,416","147,856","148,462","148,772","148,942","149,696"
Blackpool,E06000009,"148,617","150,221","151,099","150,721","149,594","147,579","145,514","144,120","142,995","143,035","142,270","142,164","142,658","143,143","143,688","143,733","143,644","142,921","142,578","142,753","142,080","142,037","141,603","140,898","140,162","139,983","139,870","139,305","139,446"
Cheshire East,E06000049,"340,546","342,260","344,113","346,153","348,698","349,911","350,985","352,066","350,932","351,234","352,104","353,348","355,529","357,354","359,807","362,049","365,003","367,160","368,023","369,051","370,736","372,383","373,006","374,606","375,722","377,303","378,846","380,790","384,152"
Cheshire West and Chester,E06000050,"312,715","314,424","316,997","317,808","317,440","317,566","318,968","320,132","319,598","321,113","322,154","322,657","324,378","325,496","327,169","328,358","329,364","329,353","329,116","329,553","329,526","330,224","331,069","332,272","333,949","335,724","337,986","340,502","343,071"
Halton,E06000006,"124,801","124,201","123,766","122,788","122,151","121,778","120,895","120,212","119,552","119,126","118,559","118,788","119,178","119,960","120,396","121,275","122,040","122,907","123,636","124,802","125,722","125,781","126,074","126,501","126,719","127,306","127,595","128,432","129,410"
Warrington,E06000007,"184,713","183,393","184,749","186,091","187,274","188,271","188,903","189,569","190,320","190,629","191,202","191,615","191,987","191,837","192,992","194,603","196,559","198,187","200,057","201,309","202,709","203,795","205,165","206,681","207,781","208,973","209,704","209,547","210,014"
Cumbria,E10000006,"486,263","487,245","487,165","487,002","486,791","486,746","488,170","489,033","488,145","487,602","487,795","488,681","491,329","494,918","497,040","498,813","500,779","500,916","500,786","500,165","499,817","499,205","498,499","498,376","498,581","498,793","498,375","498,888","500,012"
Bolton,E08000001,"261,349","261,586","261,885","261,493","260,872","260,056","259,709","260,882","260,396","260,183","261,302","262,367","263,814","264,511","265,016","266,816","268,319","270,497","273,049","275,168","277,296","279,084","280,271","280,788","281,828","283,536","284,813","285,372","287,550"
Bury,E08000002,"178,330","179,575","180,156","180,395","179,906","179,693","179,656","180,551","181,020","180,875","180,655","181,084","181,405","180,999","181,028","181,809","182,713","183,000","183,885","184,755","185,422","186,150","186,468","187,287","187,788","188,503","189,628","190,108","190,990"
Manchester,E08000003,"432,676","427,546","426,887","425,314","425,699","422,584","417,698","417,726","416,438","421,799","422,915","428,221","436,727","444,925","455,745","463,749","470,538","477,408","483,784","492,598","502,902","510,501","513,665","518,834","529,809","541,319","545,501","547,627","552,858"
Oldham,E08000004,"218,482","219,227","219,519","219,416","219,046","219,191","218,942","218,672","218,420","218,114","218,537","218,455","218,490","218,988","219,288","220,033","220,723","221,907","222,811","223,807","225,157","225,734","226,966","228,182","230,197","232,349","233,759","235,623","237,110"
Rochdale,E08000005,"203,928","204,575","205,234","205,256","205,222","204,691","204,038","204,499","204,865","206,088","206,440","206,697","207,528","207,286","207,200","207,845","208,393","209,666","210,248","210,758","211,929","211,947","212,137","212,976","214,314","216,350","218,459","220,001","222,412"
Salford,E08000006,"230,821","229,874","228,988","227,620","227,204","225,590","223,906","221,640","220,018","218,689","216,978","216,310","217,312","217,921","219,536","221,931","223,468","226,782","228,948","231,837","234,487","236,946","238,674","241,539","245,186","248,121","251,332","254,408","258,834"
Stockport,E08000007,"288,577","288,586","288,383","287,756","286,406","286,371","286,343","287,185","285,824","284,420","284,557","283,502","282,932","282,368","281,195","280,498","280,953","281,477","282,263","282,614","283,253","283,766","284,890","286,388","288,169","289,821","291,045","291,775","293,423"
Tameside,E08000008,"218,020","218,661","218,670","218,241","217,379","215,970","216,081","214,873","213,567","212,899","213,087","213,211","213,470","213,667","213,474","214,187","214,750","216,360","217,417","218,774","219,727","220,201","220,545","220,696","221,507","223,109","224,119","225,197","226,493"
Trafford,E08000009,"215,799","215,348","215,401","215,171","214,733","214,590","213,492","214,159","212,951","211,287","210,172","211,062","213,031","214,129","215,430","217,369","219,359","220,939","223,065","225,234","227,091","228,308","230,146","232,319","232,975","234,210","235,493","236,370","237,354"
Wigan,E08000010,"305,582","306,201","305,892","304,994","303,717","302,619","302,058","301,728","301,989","301,985","301,453","302,305","303,846","304,958","306,143","308,023","309,403","311,971","314,363","316,296","318,122","318,740","319,810","321,114","322,244","323,526","324,650","326,088","328,662"
Lancashire,E10000017,"1,116,402","1,117,346","1,121,679","1,123,677","1,125,542","1,125,818","1,127,410","1,129,000","1,129,630","1,132,910","1,136,542","1,138,374","1,144,581","1,149,463","1,154,308","1,159,140","1,161,832","1,163,352","1,164,141","1,167,579","1,171,558","1,175,370","1,178,594","1,182,605","1,188,875","1,195,418","1,201,855","1,210,053","1,219,799"
Knowsley,E08000011,"155,135","153,882","153,752","152,719","152,737","152,714","152,655","153,168","151,837","151,392","151,238","150,506","149,795","149,216","148,900","148,788","148,188","147,822","147,070","146,398","145,903","145,942","146,091","146,429","147,262","148,001","148,560","149,571","150,862"
Liverpool,E08000012,"475,614","473,573","471,283","468,092","464,670","461,387","456,432","453,238","448,417","446,050","441,858","443,784","444,960","448,091","452,278","453,055","453,582","454,468","457,523","461,403","465,656","470,191","471,789","474,569","480,873","487,605","491,549","494,814","498,042"
Sefton,E08000014,"292,935","292,815","292,199","290,466","288,953","287,491","286,457","285,159","284,162","283,337","282,884","280,866","279,913","278,853","276,957","275,852","275,085","274,735","274,153","273,820","273,969","273,798","273,372","273,856","274,089","274,853","274,589","275,396","276,410"
St. Helens,E08000013,"180,063","180,028","179,209","179,317","178,071","177,504","176,936","176,364","176,795","176,757","176,826","176,295","175,997","175,738","175,361","175,199","174,970","175,106","175,272","175,203","175,405","176,124","176,221","177,191","177,592","178,480","179,331","180,049","180,585"
Wirral,E08000015,"334,269","332,687","330,802","328,899","326,277","322,748","320,382","318,629","317,011","316,503","315,004","315,050","315,371","315,130","314,925","315,350","315,670","316,711","317,771","319,078","319,837","320,389","320,670","321,503","321,700","322,216","322,796","323,235","324,011"
East Riding of Yorkshire,E06000011,"294,403","295,948","299,270","302,348","304,388","304,134","305,491","306,845","309,144","311,511","314,854","318,633","321,869","325,117","327,268","328,587","330,865","332,464","332,748","333,599","334,673","335,901","336,072","337,242","336,756","337,804","338,061","339,614","341,173"
"Kingston upon Hull, City of",E06000010,"263,331","265,380","264,961","266,432","266,188","264,715","261,905","259,764","255,872","252,286","249,913","249,463","250,604","253,049","255,159","255,497","255,761","256,746","256,079","256,174","256,123","257,012","257,188","257,414","258,587","260,035","260,673","260,645","259,778"
North East Lincolnshire,E06000012,"161,039","161,211","161,825","161,378","160,401","159,172","158,560","157,825","157,988","157,633","157,951","158,003","158,373","158,542","158,725","158,610","158,589","158,708","158,689","158,951","159,735","159,788","159,963","160,019","159,971","159,828","159,826","159,821","159,563"
North Lincolnshire,E06000013,"152,907","152,910","152,185","152,853","151,844","152,211","152,242","152,230","151,962","152,470","152,964","154,240","156,196","158,211","159,679","161,163","162,801","164,519","165,572","166,539","167,516","168,351","168,716","169,213","169,843","170,807","171,294","172,005","172,292"
York,E06000014,"172,272","171,657","171,681","172,673","172,859","174,470","174,953","176,277","177,145","179,107","181,291","182,088","183,960","186,643","188,214","188,977","189,770","190,768","192,398","195,070","197,783","199,567","202,113","203,654","205,784","206,920","208,163","209,893","210,618"
North Yorkshire,E10000023,"541,800","546,103","544,706","547,753","551,984","553,703","555,468","558,107","562,012","565,610","570,094","573,186","576,130","579,959","584,001","587,299","591,247","594,979","596,396","599,028","601,206","603,508","604,724","604,730","606,017","609,538","611,633","614,505","618,054"
Barnsley,E08000016,"223,221","222,441","222,025","221,774","220,923","220,351","219,655","219,408","218,692","217,765","218,124","218,851","220,165","221,227","222,618","224,419","225,989","227,754","228,973","230,066","231,865","233,762","235,811","237,971","239,855","241,847","243,341","245,199","246,866"
Doncaster,E08000017,"291,657","291,724","290,804","290,486","290,639","289,260","288,876","287,571","286,949","286,989","286,900","288,647","290,111","290,850","292,174","293,990","296,215","298,388","300,184","301,299","302,468","302,920","303,693","304,398","305,496","307,374","308,940","310,542","311,890"
Rotherham,E08000018,"253,674","253,348","253,446","252,946","251,891","250,888","250,127","249,029","247,949","247,010","248,349","249,610","250,886","251,722","252,675","253,638","254,180","255,271","256,313","256,893","257,716","258,424","258,817","260,256","260,929","262,142","263,375","264,671","265,411"
Sheffield,E08000019,"520,098","520,774","520,766","518,632","516,742","518,133","517,540","517,596","516,334","514,573","513,102","514,201","515,339","519,640","525,721","527,629","529,905","534,035","538,385","544,613","551,756","557,276","560,199","563,463","569,177","574,050","577,789","582,506","584,853"
Bradford,E08000032,"468,808","469,499","470,360","471,338","471,163","470,804","469,199","468,001","466,933","467,124","470,753","475,184","479,166","484,650","491,361","495,658","501,357","507,323","512,392","518,002","523,115","524,386","525,936","527,567","529,879","532,539","534,800","537,173","539,776"
Calderdale,E08000033,"192,871","192,728","192,443","192,293","191,761","191,256","191,126","191,137","191,238","191,928","192,379","193,201","193,968","194,980","196,270","197,761","199,275","200,960","202,078","203,049","204,170","205,200","206,136","207,042","207,832","209,069","209,454","210,082","211,455"
Kirklees,E08000034,"378,967","380,115","382,064","382,683","383,208","383,815","383,942","384,675","385,290","386,892","388,980","392,118","394,486","397,530","400,724","404,266","407,974","411,807","414,785","418,339","422,970","425,346","427,831","429,998","432,855","435,236","437,145","438,727","439,787"
Leeds,E08000035,"706,724","710,427","713,291","712,903","713,694","715,774","716,309","715,925","714,879","713,366","715,609","716,380","717,592","723,042","735,054","736,204","738,560","741,665","743,885","747,571","750,683","757,566","760,894","765,430","773,213","781,087","784,846","789,194","793,139"
Wakefield,E08000036,"314,328","314,768","314,315","313,595","312,890","312,568","312,168","313,313","313,938","314,345","315,380","316,306","317,469","318,037","318,765","320,318","321,650","323,288","324,467","325,595","326,433","327,890","329,847","331,720","334,017","337,094","340,790","345,038","348,312"
Derby,E06000015,"222,881","224,129","225,217","226,548","227,650","229,225","230,477","230,893","231,252","230,794","230,726","231,979","232,827","234,501","236,470","238,110","239,917","241,865","243,980","247,035","248,943","250,582","251,312","252,313","253,875","256,203","257,034","257,174","257,302"
Leicester,E06000016,"281,467","281,949","285,620","289,504","291,741","291,039","289,611","290,009","285,940","283,787","282,757","285,295","288,648","294,127","301,543","306,548","311,303","315,473","319,708","324,912","329,627","332,067","334,631","338,491","344,036","349,513","353,540","355,218","354,224"
Nottingham,E06000018,"279,428","279,783","278,692","277,215","277,613","276,704","278,594","277,365","273,537","270,739","268,939","271,769","275,547","279,624","284,834","286,459","288,164","290,783","294,808","299,753","303,899","308,463","310,657","314,385","318,936","324,779","329,209","331,069","332,900"
Rutland,E06000017,"33,021","32,761","32,369","32,209","32,796","33,132","32,866","32,553","33,537","34,141","34,598","35,295","35,559","35,623","36,115","36,510","37,110","37,478","37,417","37,670","37,581","37,096","37,791","38,263","38,352","38,949","39,474","39,697","39,927"
Derbyshire,E10000007,"713,531","715,652","716,987","717,403","718,945","720,526","721,649","725,199","728,112","731,897","734,888","738,409","742,242","745,470","749,009","752,649","756,594","761,238","764,317","767,948","770,688","773,726","776,639","780,382","783,082","786,734","791,966","796,142","802,694"
Leicestershire,E10000018,"573,336","580,370","584,275","586,119","588,763","593,137","595,224","593,967","601,565","605,635","610,279","614,065","617,968","622,134","624,852","629,556","634,555","639,236","642,255","646,292","651,179","656,182","660,917","666,682","673,410","680,466","690,212","698,268","706,155"
Lincolnshire,E10000019,"588,583","595,428","600,784","605,513","612,472","617,230","621,156","625,994","632,709","640,163","647,640","655,580","663,197","672,415","677,324","685,414","693,739","700,780","705,599","711,805","714,768","719,184","724,523","731,886","737,350","744,811","751,171","755,833","761,224"
