,index_left,OBJECTID_x,CTRY20CD,CTRY20NM,BNG_E_x,BNG_N_x,LONG_x,LAT_x,Shape__Are_x,Shape__Len_x,OBJECTID_y,CTYUA20CD,CTYUA20NM,CTYUA20NMW,BNG_E_y,BNG_N_y,LONG_y,LAT_y,Shape__Are_y,Shape__Len_y,geometry,County / unitary (as of April 2021),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,1,E06000001,Hartlepool,,447160,531474,-1.27018,54.67614,96029870.6708221,51065.2959126343,POINT (447853.6108716529 530749.04105474),Hartlepool,91058.0,91225.0,91081.0,91027.0,90673.0,90397.0,89921.0,89753.0,89680.0,89811.0,90152,89993,90134,90317,90457,90781,90969,91379,91530,91773,92088,92261,92662,92606,92498,92845,93019,93242,93663
1,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,2,E06000002,Middlesbrough,,451141,516887,-1.21099,54.54467,55231394.2093506,35500.3867452485,POINT (450414.6283858657 516717.3891849396),Middlesbrough,144747.0,144130.0,144467.0,145618.0,146391.0,145767.0,144497.0,144031.0,143023.0,142251.0,141233,140090,139050,138451,138517,138169,138190,137885,137273,137667,138368,138726,138911,138991,139310,140326,140639,140545,140980
2,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,3,E06000003,Redcar and Cleveland,,464361,519597,-1.00608,54.56752,248342847.943848,78449.3892396539,POINT (463487.6864649412 517823.1147181263),Redcar and Cleveland,145880.0,145721.0,144256.0,143469.0,142395.0,141156.0,140666.0,140380.0,139542.0,139193.0,139159,138520,138565,138643,138177,137621,136940,136512,135867,135383,135164,134976,134960,135102,135324,135496,136005,136718,137150
3,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,4,E06000004,Stockton-on-Tees,,444940,518183,-1.30664,54.55691,205231414.427643,87566.566060878,POINT (443311.7194833227 518610.6900232657),Stockton-on-Tees,175154.0,176149.0,177180.0,177263.0,176993.0,177714.0,178019.0,179350.0,180844.0,182517.0,183795,184940,185699,185687,186350,187270,187937,189039,189978,190902,191824,192487,193433,194423,195128,195958,196487,197213,197348
4,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,5,E06000005,Darlington,,428029,515648,-1.56835,54.53534,198812770.766724,91926.8395447382,POINT (429079.9488644552 517181.4704451572),Darlington,99342.0,99347.0,99224.0,99423.0,99189.0,99588.0,99171.0,99273.0,98172.0,98088.0,97894,98474,98911,99343,100287,101509,102632,103694,104355,105028,105584,105503,105726,105877,105998,106327,106347,106566,106803
5,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,6,E06000006,Halton,,354246,382146,-2.68853,53.33424,82890886.7071991,59054.981307065,POINT (352659.5069243475 383433.8223070687),Halton,124801.0,124201.0,123766.0,122788.0,122151.0,121778.0,120895.0,120212.0,119552.0,119126.0,118559,118788,119178,119960,120396,121275,122040,122907,123636,124802,125722,125781,126074,126501,126719,127306,127595,128432,129410
6,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,7,E06000007,Warrington,,362744,388456,-2.56167,53.39163,178742992.981346,71969.4867081409,POINT (362579.9150297084 389217.7474080702),Warrington,184713.0,183393.0,184749.0,186091.0,187274.0,188271.0,188903.0,189569.0,190320.0,190629.0,191202,191615,191987,191837,192992,194603,196559,198187,200057,201309,202709,203795,205165,206681,207781,208973,209704,209547,210014
7,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,8,E06000008,Blackburn with Darwen,,369490,422806,-2.4636,53.7008,139386372.837677,55099.1506570023,POINT (369263.2199474666 421909.3992825204),Blackburn with Darwen,137402.0,137775.0,138912.0,139515.0,139558.0,138778.0,138748.0,139568.0,138233.0,138196.0,138453,139538,140429,141418,142145,143110,143942,144902,146197,146966,147657,147854,147763,147416,147856,148462,148772,148942,149696
8,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,9,E06000009,Blackpool,,332819,436635,-3.02199,53.82164,33544769.4871216,29836.1563680106,POINT (332481.4273133795 436106.5387897128),Blackpool,148617.0,150221.0,151099.0,150721.0,149594.0,147579.0,145514.0,144120.0,142995.0,143035.0,142270,142164,142658,143143,143688,143733,143644,142921,142578,142753,142080,142037,141603,140898,140162,139983,139870,139305,139446
9,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,10,E06000010,"Kingston upon Hull, City of",,511894,431650,-0.30382,53.7692,70878198.3373108,41042.5011604266,POINT (509911.6666726365 431082.1005429623),"Kingston upon Hull, City of",263331.0,265380.0,264961.0,266432.0,266188.0,264715.0,261905.0,259764.0,255872.0,252286.0,249913,249463,250604,253049,255159,255497,255761,256746,256079,256174,256123,257012,257188,257414,258587,260035,260673,260645,259778
